_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4929499,6008,TR-06109,30,Billy Bishop Way,Wilson Ave,South,Billy Bishop Way,West,T9899,6.0,Wilson Village,LC,Existing,Provincial,0TS13734,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4529962631, 43.7331650825)}"
4929500,6009,TR-06060,,,Bloor St W,South,Parkside Dr,West,T565,4.0,Bloor By The Park,LC,Existing,Provincial,0TS13716,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4603594087, 43.6544807883)}"
4929501,6011,TR-06025,40,McNicoll Ave,McNicoll Ave,North,Myers Lane,East,T2898,17.0,,RN1,Existing,Provincial,S2402898,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3677428121, 43.8030879939)}"
4929502,6012,TR-06028,,,Morningside Ave,West,Plantain Way,North,T14970,25.0,,LCN,Existing,Provincial,S4214970,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2265948097, 43.8208662179)}"
4929503,6013,TR-06136,1515,Pharmacy Ave,Pharmacy Ave,East,Christina Cres,South,T6677,21.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3107651648, 43.7606297878)}"
4929504,6014,TR-06033,205,Park Lawn Rd,Park Lawn Rd,East,Lorne Ave,South,T14331,3.0,,LCN,Existing,Provincial,S0514331,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4909578951, 43.6307055846)}"
4929505,6016,TR-07030,169,King St E,King St E,South,Jarvis St,East,T15636,13.0,St. Lawrence Market Neighbourhood,RN2,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3713845525, 43.6504992594)}"
4929506,6018,TR-07017,,,McNicoll Ave,North,Bramblebrook Ave,East,T12032,23.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2862686051, 43.8145669015)}"
4929507,6020,TR-07034,409,King St W,King St W,South,Spadina Ave,East,T15648,10.0,Toronto Entertainment District,LK,Existing,Provincial,,,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3942759187, 43.6455434197)}"
4929508,6021,TR-07041,1229,Broadview Ave,Broadview Ave,East,Torrens Ave,North,T15790,14.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.355171895, 43.6905175424)}"
4929509,6024,TR-07045,309,Cherry St,Cherry St,East,Villiers St,South,T6299,14.0,,KR2,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3534337891, 43.6467187476)}"
4929510,6025,TR-07036,,,Arrow Rd,East,Lido Rd,South,T7500,7.0,Emery Village,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5306014949, 43.7413833314)}"
4929511,6027,TR-07028,,,King St E,North,Jarvis St,West,T15635,13.0,St. Lawrence Market Neighbourhood,KR2,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3721763417, 43.6504605595)}"
4929512,6028,TR-07048,284,Greenwood Ave,Greenwood Ave,West,Ivy Ave,North,T3680,14.0,,RN2,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3291875188, 43.6735353698)}"
4929513,6029,TR-07039,,,Bloor St E,South,Castle Frank Rd,East,T15528,11.0,,LC,Existing,Provincial,0TS14057,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3676104275, 43.6739836542)}"
4929514,6031,TR-07035,645,King St W,King St W,South,Bathurst St,East,T15650,10.0,,LK,Existing,Provincial,,,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4019644866, 43.643987139)}"
4929515,6032,TR-07031,,,King St W,North,Yonge St,West,T15637,13.0,Financial District,KR2,Existing,Provincial,TS14037P,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3784617846, 43.6491080383)}"
4929516,6034,TR-07180,,,Spadina Ave,Centre West,Sussex Ave,South,T8132B,,,Q10-SA,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4026569893, 43.6643380205)}"
4929517,6040,TR-07189,,,Spadina Ave,Centre East,Richmond St W,South,T11985B,,Toronto Entertainment District,Q10-SA,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3958140056, 43.6475533517)}"
4929518,6043,TR-07186,,,Spadina Ave,Centre East,Harbord St,South,T8124B,,,Q10-SA,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4020576054, 43.6628253824)}"
4929519,6044,TR-07185,,,Spadina Ave,Centre West,Harbord St,South,T8124A,,Harbord Street,Q10-SA,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4020690545, 43.6628529723)}"
4929520,6045,TR-07178,,,Spadina Ave,Centre East,Sussex Ave,South,T7357C,,,Q10-SA,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4025552787, 43.6643521919)}"
4929521,6049,SH-00358,1041,Pape Ave,Pape Ave,East,Cosburn Ave,South,T2991,14.0,Pape Village,C,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3486449488, 43.6893062611)}"
4929522,6050,TR-05983,,,Military Trl,North,Morningside Ave,East,T11415,25.0,,LKN,Existing,Provincial,S4411415,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.193444455, 43.7891043592)}"
4929523,6051,TR-05993,,,Van Horne Ave,South,Edmonton Dr,East,T7385,17.0,,LCN,Existing,Provincial,S3307385,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3395388635, 43.7869724986)}"
